MONTH,DIE_CLASS_CODE,WAFER_ID,PRIORITY,ROUTING CODE,OWNER,5G,MODULE,GPDW
Apr-21,2RT7-1708,N7914-6117,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,64829
Apr-21,2RT7-1708,N7914-6171,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,64829
Apr-21,2RT7-1708,N7914-6263,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,64829
Apr-21,2RT7-1708,N7914-6264,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,64829
Apr-21,2RT7-1708,N7914-6267,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,64829
Apr-21,2ST9-1701,N2161-8110,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
Apr-21,2ST9-1701,N2161-8112,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
Apr-21,2ST9-1701,N2161-8163,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
Apr-21,2ST9-1701,N2161-8168,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
Apr-21,2ST9-1701,N2161-8169,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
Apr-21,2ST9-1701,N2161-8172,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
Apr-21,2ST9-1701,N2161-D006,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
Apr-21,2ST9-1701,N2161-D014,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
Apr-21,2ST9-1701,N2161-D058,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
Apr-21,2ST9-1701,N2161-D178,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
Apr-21,2ST9-1701,N2161-E084,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
Apr-21,2ST9-1701,N2161-E197,Normal,PROBE-PSAW NPAD.2 (THIN),Fong Yin Mei,NO,CHDR,36378
May-21,2SS6-1701,N9145-0077,Normal,CUSMT_PLASMA,KC Chan,NO,CHDR,25179
May-21,2SS6-1701,N9145-0236,Normal,CUSMT_PLASMA,KC Chan,NO,CHDR,25179
May-21,2SS6-1701,N9145-0237,Normal,CUSMT_PLASMA,KC Chan,NO,CHDR,25179
May-21,2SS6-1701,N9145-0265,Normal,CUSMT_PLASMA,KC Chan,NO,CHDR,25179
May-21,2SS6-1701,N9145-0344,Normal,CUSMT_PLASMA,KC Chan,NO,CHDR,25179
May-21,2SS6-1701,N9145-0355,Normal,CUSMT_PLASMA,KC Chan,NO,CHDR,25179
May-21,2SQ6-1701,N9872-1092,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1179,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
